pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
84,2048,2,0.1096,0.1250,0.0154
84,4096,0,0.1096,0.1096,0.0000
85,512,2,0.1513,0.1667,0.0154
85,1024,2,0.1513,0.1667,0.0154
85,2048,2,0.1513,0.1667,0.0154
85,4096,0,0.1513,0.1513,0.0000
86,512,2,0.1917,0.2017,0.0100
86,1024,1,0.1917,0.2017,0.0100
86,2048,1,0.1917,0.2017,0.0100
86,4096,0,0.1917,0.1917,0.0000
87,512,7,0.1184,0.1644,0.0460
87,1024,4,0.1184,0.1486,0.0302
87,2048,2,0.1184,0.1333,0.0149
87,4096,1,0.1184,0.1258,0.0074
88,512,6,0.1447,0.1837,0.0389
88,1024,5,0.1447,0.1757,0.0309
88,2048,2,0.1447,0.1523,0.0076
88,4096,1,0.1447,0.1523,0.0076
89,512,5,0.1449,0.1618,0.0168
89,1024,0,0.1449,0.1449,0.0000
89,2048,0,0.1449,0.1449,0.0000
89,4096,0,0.1449,0.1449,0.0000
90,512,5,0.1022,0.1103,0.0081
90,1024,4,0.1022,0.1103,0.0081
90,2048,3,0.1022,0.1103,0.0081
90,4096,0,0.1022,0.1022,0.0000
91,512,5,0.1966,0.2389,0.0424
91,1024,3,0.1966,0.2281,0.0315
91,2048,1,0.1966,0.2069,0.0103
91,4096,0,0.1966,0.1966,0.0000
92,512,4,0.0667,0.0959,0.0292
92,1024,3,0.0667,0.0884,0.0218
92,2048,0,0.0667,0.0667,0.0000
92,4096,0,0.0667,0.0667,0.0000
93,512,5,0.2241,0.2566,0.0325
93,1024,4,0.2241,0.2456,0.0215
93,2048,1,0.2241,0.2348,0.0106
93,4096,0,0.2241,0.2241,0.0000
94,512,5,0.0889,0.1264,0.0375
94,1024,1,0.0889,0.1011,0.0122
94,2048,1,0.0889,0.1011,0.0122
94,4096,1,0.0889,0.1011,0.0122
95,512,3,0.1503,0.1579,0.0076
95,1024,1,0.1503,0.1579,0.0076
95,2048,1,0.1503,0.1579,0.0076
95,4096,1,0.1503,0.1579,0.0076
96,512,3,0.1538,0.1688,0.0150
96,1024,0,0.1538,0.1538,0.0000
96,2048,0,0.1538,0.1538,0.0000
96,4096,0,0.1538,0.1538,0.0000
97,512,6,0.2385,0.2578,0.0194
97,1024,2,0.2385,0.2481,0.0096
97,2048,1,0.2385,0.2385,0.0000
97,4096,1,0.2385,0.2385,0.0000
98,512,7,0.1232,0.1457,0.0226
98,1024,4,0.1232,0.1343,0.0112
98,2048,4,0.1232,0.1343,0.0112
98,4096,1,0.1232,0.1287,0.0056
99,512,5,0.1553,0.1900,0.0347
99,1024,4,0.1553,0.1782,0.0229
99,2048,4,0.1553,0.1782,0.0229
99,4096,1,0.1553,0.1553,0.0000
100,512,2,0.2143,0.2364,0.0221
100,1024,1,0.2143,0.2252,0.0109
100,2048,0,0.2143,0.2143,0.0000
100,4096,0,0.2143,0.2143,0.0000
101,512,6,0.1210,0.1503,0.0293
101,1024,4,0.1210,0.1355,0.0145
101,2048,4,0.1210,0.1355,0.0145
101,4096,0,0.1210,0.1210,0.0000
102,512,2,0.1607,0.1712,0.0105
102,1024,1,0.1607,0.1607,0.0000
102,2048,0,0.1607,0.1607,0.0000
102,4096,0,0.1607,0.1607,0.0000
103,512,7,0.0840,0.1316,0.0475
103,1024,0,0.0840,0.0840,0.0000
103,2048,0,0.0840,0.0840,0.0000
103,4096,0,0.0840,0.0840,0.0000
104,512,4,0.1087,0.1418,0.0331
104,1024,3,0.1087,0.1333,0.0246
104,2048,1,0.1087,0.1168,0.0081
104,4096,0,0.1087,0.1087,0.0000
105,512,5,0.2119,0.2328,0.0209
105,1024,2,0.2119,0.2222,0.0104
105,2048,2,0.2119,0.2222,0.0104
105,4096,0,0.2119,0.2119,0.0000
106,512,5,0.0811,0.1111,0.0300
106,1024,0,0.0811,0.0811,0.0000
106,2048,0,0.0811,0.0811,0.0000
106,4096,0,0.0811,0.0811,0.0000
107,512,7,0.2992,0.3200,0.0208
107,1024,4,0.2992,0.3095,0.0103
107,2048,2,0.2992,0.2992,0.0000
107,4096,0,0.2992,0.2992,0.0000
108,512,8,0.1632,0.2077,0.0445
108,1024,4,0.1632,0.1818,0.0187
108,2048,4,0.1632,0.1818,0.0187
108,4096,2,0.1632,0.1755,0.0124
109,512,2,0.1565,0.1770,0.0205
109,1024,0,0.1565,0.1565,0.0000
109,2048,0,0.1565,0.1565,0.0000
109,4096,0,0.1565,0.1565,0.0000
110,512,7,0.1409,0.1806,0.0396
110,1024,6,0.1409,0.1806,0.0396
110,2048,4,0.1409,0.1806,0.0396
110,4096,2,0.1409,0.1565,0.0155
111,512,4,0.1838,0.2105,0.0267
111,1024,2,0.1838,0.1926,0.0088
111,2048,1,0.1838,0.1838,0.0000
111,4096,1,0.1838,0.1838,0.0000
112,512,5,0.0758,0.1181,0.0424
112,1024,3,0.0758,0.1181,0.0424
112,2048,3,0.0758,0.1181,0.0424
112,4096,1,0.0758,0.0840,0.0082
113,512,8,0.2000,0.2222,0.0222
113,1024,4,0.2000,0.2000,0.0000
113,2048,3,0.2000,0.2000,0.0000
113,4096,1,0.2000,0.2000,0.0000
114,512,9,0.1742,0.2294,0.0553
114,1024,5,0.1742,0.2081,0.0339
114,2048,4,0.1742,0.2011,0.0270
114,4096,2,0.1742,0.1875,0.0133
115,512,4,0.0846,0.1371,0.0525
115,1024,2,0.0846,0.1102,0.0256
115,2048,2,0.0846,0.1102,0.0256
115,4096,0,0.0846,0.0846,0.0000
116,512,2,0.1392,0.1538,0.0146
116,1024,0,0.1392,0.1392,0.0000
116,2048,0,0.1392,0.1392,0.0000
116,4096,0,0.1392,0.1392,0.0000
117,512,2,0.2157,0.2277,0.0120
117,1024,0,0.2157,0.2157,0.0000
117,2048,0,0.2157,0.2157,0.0000
117,4096,0,0.2157,0.2157,0.0000
118,512,11,0.1796,0.2390,0.0594
118,1024,5,0.1796,0.2012,0.0216
118,2048,2,0.1796,0.1939,0.0143
118,4096,2,0.1796,0.1939,0.0143
119,512,10,0.0952,0.1418,0.0466
119,1024,6,0.0952,0.1259,0.0306
119,2048,5,0.0952,0.1259,0.0306
119,4096,2,0.0952,0.1103,0.0151
120,512,11,0.0976,0.1538,0.0563
120,1024,5,0.0976,0.1250,0.0274
120,2048,3,0.0976,0.1111,0.0136
120,4096,0,0.0976,0.0976,0.0000
121,512,5,0.1250,0.1842,0.0592
121,1024,2,0.1250,0.1441,0.0191
121,2048,0,0.1250,0.1250,0.0000
121,4096,0,0.1250,0.1250,0.0000
122,512,2,0.2045,0.2137,0.0092
122,1024,2,0.2045,0.2137,0.0092
122,2048,2,0.2045,0.2137,0.0092
122,4096,0,0.2045,0.2045,0.0000
123,512,4,0.2057,0.2230,0.0173
123,1024,4,0.2057,0.2230,0.0173
123,2048,2,0.2057,0.2057,0.0000
123,4096,0,0.2057,0.2057,0.0000
124,512,1,0.0792,0.0900,0.0108
124,1024,0,0.0792,0.0792,0.0000
124,2048,0,0.0792,0.0792,0.0000
124,4096,0,0.0792,0.0792,0.0000
125,512,10,0.1793,0.2391,0.0598
125,1024,6,0.1793,0.2214,0.0421
125,2048,1,0.1793,0.1875,0.0082
125,4096,0,0.1793,0.1793,0.0000
126,512,6,0.2381,0.2745,0.0364
